timestamp,status,latency_ms,budget,tool_name,regime
1773973956.980862,success,295.01,100,calculate,periodic
1773973957.028086,success,354.71,100,calculate,periodic
1773973957.029175,success,1217.93,100,mock_heavy,bursty
1773973957.030122,error,1.65,100,calculate,periodic
1773973957.059016,success,1188.66,100,mock_heavy,bursty
1773973957.104622,success,818.32,100,web_fetch,bursty
1773973957.151327,error,2.81,100,calculate,periodic
1773973957.154691,error,1.94,100,web_fetch,periodic
1773973957.154691,error,2.50,100,calculate,periodic
1773973957.182227,success,634.75,100,calculate,bursty
1773973957.183759,error,4.23,100,web_fetch,periodic
1773973957.184896,error,3.10,100,calculate,periodic
1773973957.185454,error,3.09,100,web_fetch,periodic
1773973957.212605,rejected,1.76,100,mock_heavy,periodic
1773973957.243623,error,2.16,100,web_fetch,periodic
1773973957.305421,error,2.46,100,calculate,periodic
1773973957.336702,rejected,1.59,100,mock_heavy,periodic
1773973957.428642,rejected,1.63,100,mock_heavy,periodic
1773973957.429695,success,817.98,100,calculate,bursty
1773973957.553181,rejected,1.52,100,calculate,bursty
1773973957.583042,rejected,1.70,100,calculate,bursty
1773973957.659781,rejected,1.70,100,web_fetch,bursty
1773973957.690757,rejected,0.67,100,mock_heavy,bursty
1773973957.721731,rejected,2.61,100,mock_heavy,bursty
1773973957.723259,rejected,1.16,100,calculate,bursty
1773973957.753188,rejected,1.29,100,web_fetch,bursty
1773973957.783691,rejected,1.67,100,calculate,bursty
1773973957.814818,rejected,2.78,100,calculate,bursty
1773973957.816424,rejected,1.27,100,web_fetch,bursty
1773973957.845609,rejected,2.70,100,calculate,bursty
1773973957.846658,rejected,1.65,100,web_fetch,bursty
1773973957.847759,rejected,1.59,100,mock_heavy,bursty
1773973957.952385,rejected,0.68,100,mock_heavy,bursty
1773973958.012429,rejected,2.73,100,mock_heavy,bursty
1773973958.013788,rejected,1.37,100,web_fetch,bursty
1773973958.074308,rejected,2.63,100,web_fetch,bursty
1773973958.075892,rejected,1.04,100,mock_heavy,bursty
1773973958.167718,rejected,0.63,100,mock_heavy,bursty
1773973958.198038,rejected,1.20,100,calculate,bursty
1773973958.228358,rejected,1.00,100,mock_heavy,bursty
1773973958.259670,rejected,1.13,100,mock_heavy,bursty
1773973958.305362,rejected,1.71,100,web_fetch,bursty
1773973958.367361,success,156.59,100,web_fetch,bursty
1773973958.398507,rejected,2.08,100,mock_heavy,bursty
1773973958.444879,success,156.34,100,web_fetch,bursty
1773973958.506243,success,156.61,100,web_fetch,bursty
1773973958.507861,success,157.74,100,web_fetch,bursty
1773973958.508414,success,157.91,100,web_fetch,bursty
1773973958.509221,success,7.36,100,calculate,bursty
1773973958.569535,success,4.41,100,calculate,bursty
1773973958.570154,success,157.61,100,web_fetch,bursty
1773973958.662850,rejected,2.75,100,mock_heavy,bursty
1773973958.663600,success,5.58,100,calculate,bursty
1773973958.664602,success,6.83,100,calculate,bursty
1773973958.693783,rejected,2.33,100,mock_heavy,bursty
1773973958.694789,success,155.91,100,web_fetch,bursty
1773973958.727768,rejected,1.68,100,mock_heavy,bursty
1773973958.817923,rejected,2.14,100,mock_heavy,bursty
1773973958.850704,rejected,2.40,100,mock_heavy,bursty
1773973958.851763,rejected,1.89,100,mock_heavy,bursty
1773973958.927144,success,156.81,100,web_fetch,bursty
1773973958.972588,rejected,2.18,100,mock_heavy,bursty
1773973959.002964,rejected,2.01,100,mock_heavy,bursty
1773973959.083954,success,156.48,100,web_fetch,bursty
1773973959.202310,rejected,1.73,100,mock_heavy,bursty
1773973959.232971,success,4.83,100,calculate,bursty
1773973959.263880,success,156.44,100,web_fetch,bursty
1773973959.265328,rejected,1.15,100,mock_heavy,bursty
1773973959.310330,success,156.47,100,web_fetch,bursty
1773973959.341761,rejected,2.25,100,mock_heavy,bursty
1773973959.343127,rejected,1.43,100,mock_heavy,bursty
1773973959.403116,rejected,1.79,100,mock_heavy,bursty
1773973959.403844,success,5.08,100,calculate,bursty
1773973959.465304,success,5.88,100,calculate,bursty
1773973959.466795,success,7.23,100,calculate,bursty
1773973959.468170,success,159.27,100,web_fetch,steady
1773973959.468387,success,9.60,100,calculate,bursty
1773973959.496287,success,155.98,100,web_fetch,steady
1773973959.541972,success,5.26,100,calculate,bursty
1773973959.547235,success,197.89,100,web_fetch,steady
1773973959.627441,success,5.44,100,calculate,steady
1773973959.652270,success,5.66,100,calculate,steady
1773973959.653395,success,861.49,100,mock_heavy,bursty
1773973959.698081,success,1139.20,100,mock_heavy,steady
1773973959.744131,success,387.64,100,web_fetch,bursty
1773973959.791672,success,1184.90,100,mock_heavy,steady
1773973959.852818,success,662.07,100,web_fetch,bursty
1773973959.883513,success,1045.87,100,web_fetch,steady
1773973960.083169,success,1433.85,100,mock_heavy,steady
1773973960.084668,success,907.76,100,calculate,steady
1773973960.128809,rejected,4.08,100,web_fetch,bursty
1773973960.130635,rejected,2.26,100,mock_heavy,bursty
1773973960.132326,rejected,1.60,100,calculate,bursty
1773973960.174592,rejected,2.15,100,mock_heavy,bursty
1773973960.252113,rejected,2.47,100,mock_heavy,bursty
1773973960.253467,rejected,1.65,100,web_fetch,bursty
1773973960.282954,rejected,2.03,100,web_fetch,bursty
1773973960.359400,rejected,1.71,100,calculate,bursty
1773973960.482779,rejected,1.66,100,mock_heavy,bursty
1773973960.513244,rejected,1.65,100,mock_heavy,bursty
1773973960.712848,rejected,1.72,100,mock_heavy,bursty
1773973960.835919,rejected,2.42,100,calculate,steady
1773973960.837184,rejected,2.27,100,web_fetch,steady
1773973960.838340,rejected,1.67,100,mock_heavy,steady
1773973960.867088,rejected,2.04,100,web_fetch,steady
1773973960.912897,success,93.41,100,calculate,steady
1773973960.974815,rejected,1.75,100,mock_heavy,steady
1773973961.051326,success,246.58,100,web_fetch,steady
1773973961.081665,success,124.86,100,calculate,steady
1773973961.082706,success,353.89,100,web_fetch,steady
1773973961.189346,success,185.50,100,calculate,steady
1773973961.190345,success,480.70,100,web_fetch,bursty
1773973961.235362,success,590.52,100,web_fetch,bursty
1773973961.237279,success,510.96,100,web_fetch,bursty
1773973961.296761,success,497.82,100,web_fetch,bursty
1773973961.327430,success,1024.13,100,mock_heavy,bursty
1773973961.328431,error,2.00,100,mock_heavy,steady
1773973961.419972,success,978.12,100,mock_heavy,bursty
1773973961.466559,success,1206.43,100,mock_heavy,periodic
1773973961.517021,success,633.49,100,web_fetch,bursty
1773973961.560828,rejected,1.70,100,calculate,bursty
1773973961.639047,rejected,2.12,100,mock_heavy,bursty
1773973961.640090,rejected,1.08,100,web_fetch,bursty
1773973961.669888,rejected,1.16,100,web_fetch,bursty
1773973961.715887,rejected,1.74,100,calculate,bursty
