admitted_success_rate_delta,admitted_success_rate_delta_ci_high,admitted_success_rate_delta_ci_low,admitted_success_rate_va_mean,admitted_success_rate_vb_mean,avoided_replay_steps_delta,avoided_replay_steps_delta_ci_high,avoided_replay_steps_delta_ci_low,avoided_replay_steps_va_mean,avoided_replay_steps_vb_mean,cascade_failed_delta,cascade_failed_delta_ci_high,cascade_failed_delta_ci_low,cascade_failed_va_mean,cascade_failed_vb_mean,comparison,concurrency,duplicate_side_effect_delta,duplicate_side_effect_delta_ci_high,duplicate_side_effect_delta_ci_low,duplicate_side_effect_va_mean,duplicate_side_effect_vb_mean,effective_goodput_delta,effective_goodput_delta_ci_high,effective_goodput_delta_ci_low,effective_goodput_va_mean,effective_goodput_vb_mean,failure_rate,p95_ms_delta,p95_ms_delta_ci_high,p95_ms_delta_ci_low,p95_ms_va_mean,p95_ms_vb_mean,post_resume_success_delta,post_resume_success_delta_ci_high,post_resume_success_delta_ci_low,post_resume_success_va_mean,post_resume_success_vb_mean,resume_recovered_delta,resume_recovered_delta_ci_high,resume_recovered_delta_ci_low,resume_recovered_va_mean,resume_recovered_vb_mean,wasted_service_ms_delta,wasted_service_ms_delta_ci_high,wasted_service_ms_delta_ci_low,wasted_service_ms_va_mean,wasted_service_ms_vb_mean,wasted_tool_calls_delta,wasted_tool_calls_delta_ci_high,wasted_tool_calls_delta_ci_low,wasted_tool_calls_va_mean,wasted_tool_calls_vb_mean,workflow_success_rate_delta,workflow_success_rate_delta_ci_high,workflow_success_rate_delta_ci_low,workflow_success_rate_va_mean,workflow_success_rate_vb_mean
0.1,0.3,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,-9.0,0.0,3.0,adaptive_recovery_vs_adaptive_default,50,0.0,0.0,0.0,0.0,0.0,1.0232,2.7247,-0.348333,10.250333,9.227133,0.0,6.319667,35.933,-22.08,683.955,677.635333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.266667,0.0,-57.8,0.0,19.266667,-6.333333,0.0,-19.0,170.0,176.333333,0.015,0.045,0.0,0.15,0.135
-0.055555,0.055556,-0.122222,0.855556,0.911111,6.0,9.0,4.0,6.0,0.0,1.666667,3.666667,-1.666667,4.333333,2.666667,adaptive_recovery_vs_adaptive_default,50,0.0,0.0,0.0,0.0,0.0,-0.493667,0.083633,-1.4948,9.1781,9.671767,0.1,-21.727,49.898,-90.73,628.317333,650.044333,1.333333,2.0,1.0,1.333333,0.0,1.333333,2.0,1.0,1.333333,0.0,-888.3,47.566667,-1806.833333,1332.533333,2220.833333,0.666667,8.0,-8.666667,185.666667,185.0,-0.008333,0.008333,-0.018333,0.128333,0.136667
0.086022,0.208961,-0.036559,0.844803,0.758781,4.333333,6.0,3.0,4.333333,0.0,-2.666667,1.0,-6.333333,4.666667,7.333333,adaptive_recovery_vs_adaptive_default,50,0.0,0.0,0.0,0.0,0.0,0.535433,3.019867,-1.744633,8.958467,8.423033,0.2,1.005667,50.932,-63.044,573.208667,572.203,1.666667,2.0,1.0,1.666667,0.0,1.666667,2.0,1.0,1.666667,0.0,-983.9,588.2,-2404.133333,1432.233333,2416.133333,-11.666667,5.333333,-29.0,189.0,200.666667,0.013333,0.035,-0.006667,0.128333,0.115
0.033333,0.1,0.0,1.0,0.966667,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-3.0,0.0,1.0,adaptive_recovery_vs_adaptive_default,100,0.0,0.0,0.0,0.0,0.0,0.628967,1.7072,-0.5122,10.497167,9.8682,0.0,15.435667,76.857667,-43.307,644.907333,629.471667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.333333,0.0,-7.0,0.0,2.333333,-2.0,0.0,-6.0,170.0,172.0,0.005,0.015,0.0,0.15,0.145
0.044445,0.166667,-0.055555,0.9,0.855555,5.666667,8.0,4.0,5.666667,0.0,-1.333333,1.666667,-5.0,3.0,4.333333,adaptive_recovery_vs_adaptive_default,100,0.0,0.0,0.0,0.0,0.0,0.331633,1.169833,-0.506567,9.314267,8.982633,0.1,-31.323333,2.53,-59.788667,563.265,594.588333,1.333333,2.0,1.0,1.333333,0.0,1.333333,2.0,1.0,1.333333,0.0,288.5,1802.333333,-1168.7,1286.466667,997.966667,-6.0,5.0,-17.0,182.333333,188.333333,0.006667,0.025,-0.008333,0.135,0.128333
0.055555,0.144444,-0.033334,0.911111,0.855556,15.0,24.0,4.0,15.0,0.0,-1.666667,1.0,-4.666667,2.666667,4.333333,adaptive_recovery_vs_adaptive_default,100,0.0,0.0,0.0,0.0,0.0,0.627,1.6284,-0.3744,9.346267,8.719267,0.2,-127.772333,-21.232333,-232.099,464.99,592.762333,3.666667,5.0,2.0,3.666667,0.0,3.666667,5.0,2.0,3.666667,0.0,-1106.2,-388.533333,-1804.966667,552.566667,1658.766667,-14.333333,-3.333333,-27.333333,179.0,193.333333,0.008333,0.021667,-0.005,0.136667,0.128333
0.468953,0.588118,0.274242,0.9,0.431047,0.0,0.0,0.0,0.0,0.0,-101.333333,-94.0,-108.0,3.0,104.333333,adaptive_vs_no_capacity_step0,50,0.0,0.0,0.0,0.0,0.0,8.5929,9.650833,6.673367,9.227133,0.634233,0.0,-44708.628,-44633.490667,-44774.691667,677.635333,45386.263333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3924641.766667,-3796537.533333,-4097825.133333,19.266667,3924661.033333,-420.0,-395.666667,-444.666667,176.333333,596.333333,-0.26,-0.228333,-0.291667,0.135,0.395
0.529629,0.575407,0.463024,0.911111,0.381482,0.0,0.0,0.0,0.0,0.0,-109.666667,-98.333333,-119.0,2.666667,112.333333,adaptive_vs_no_capacity_step0,50,0.0,0.0,0.0,0.0,0.0,9.091467,10.106,8.439567,9.671767,0.5803,0.1,-44903.872333,-44837.218333,-44970.526333,650.044333,45553.916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3632029.7,-3287261.266667,-3814297.766667,2220.833333,3634250.533333,-395.0,-337.333333,-426.333333,185.0,580.0,-0.21,-0.173333,-0.273333,0.136667,0.346667
0.415726,0.523611,0.332398,0.758781,0.343056,0.0,0.0,0.0,0.0,0.0,-108.666667,-100.666667,-115.0,7.333333,116.0,adaptive_vs_no_capacity_step0,50,0.0,0.0,0.0,0.0,0.0,7.8609,9.078367,6.2516,8.423033,0.562133,0.2,-44937.876333,-44869.636333,-45040.407,572.203,45510.079333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3294975.266667,-3180576.033333,-3377865.8,2416.133333,3297391.4,-361.333333,-321.333333,-391.666667,200.666667,562.0,-0.188333,-0.15,-0.235,0.115,0.303333
0.651783,0.711021,0.585116,0.966667,0.314884,0.0,0.0,0.0,0.0,0.0,-105.666667,-98.0,-112.0,1.0,106.666667,adaptive_vs_no_capacity_step0,100,0.0,0.0,0.0,0.0,0.0,9.174267,9.6512,8.690833,9.8682,0.693933,0.0,-44773.460667,-44544.677,-45019.582667,629.471667,45402.932333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2264460.766667,-2080470.566667,-2358002.566667,2.333333,2264463.1,-256.333333,-231.0,-276.0,172.0,428.333333,-0.1,-0.065,-0.123333,0.145,0.245
