admitted_success_rate_max,admitted_success_rate_mean,admitted_success_rate_min,admitted_success_rate_std,avoided_replay_steps_max,avoided_replay_steps_mean,avoided_replay_steps_min,avoided_replay_steps_std,cascade_failed_max,cascade_failed_mean,cascade_failed_min,cascade_failed_std,concurrency,duplicate_side_effect_max,duplicate_side_effect_mean,duplicate_side_effect_min,duplicate_side_effect_std,effective_goodput_max,effective_goodput_mean,effective_goodput_min,effective_goodput_std,failure_rate,governance_intensity,p95_ms_max,p95_ms_mean,p95_ms_min,p95_ms_std,p99_ms_max,p99_ms_mean,p99_ms_min,p99_ms_std,post_resume_success_max,post_resume_success_mean,post_resume_success_min,post_resume_success_std,react_recovered_success_max,react_recovered_success_mean,react_recovered_success_min,react_recovered_success_std,rejected_s0_capacity_max,rejected_s0_capacity_mean,rejected_s0_capacity_min,rejected_s0_capacity_std,rejected_s0_max,rejected_s0_mean,rejected_s0_min,rejected_s0_std,resume_attempted_max,resume_attempted_mean,resume_attempted_min,resume_attempted_std,resume_recovered_max,resume_recovered_mean,resume_recovered_min,resume_recovered_std,runs,success_max,success_mean,success_min,success_std,variant,wasted_service_ms_max,wasted_service_ms_mean,wasted_service_ms_min,wasted_service_ms_std,wasted_tool_calls_max,wasted_tool_calls_mean,wasted_tool_calls_min,wasted_tool_calls_std,workflow_success_rate_max,workflow_success_rate_mean,workflow_success_rate_min,workflow_success_rate_std
0.796296,0.762031,0.734694,0.03138,12.0,10.0,6.0,3.464102,13.0,12.0,11.0,1.0,50,0.0,0.0,0.0,0.0,14.4634,13.337767,12.6665,0.980841,0.2,light,638.094,630.650333,625.79,6.546168,768.543,759.039667,749.428,9.55796,4.0,3.666667,3.0,0.57735,4.0,3.666667,3.0,0.57735,151.0,149.333333,146.0,2.886751,151.0,149.333333,146.0,2.886751,4.0,3.666667,3.0,0.57735,4.0,3.666667,3.0,0.57735,3,43.0,38.666667,36.0,3.785939,plangate_adaptive_react_recovery_light,2612.4,1693.833333,615.0,1008.29844,195.0,187.333333,174.0,11.590226,0.215,0.193333,0.18,0.01893
1.0,0.944444,0.875,0.063647,0.0,0.0,0.0,0.0,6.0,2.666667,0.0,3.05505,100,0.0,0.0,0.0,0.0,17.8278,15.429633,13.8939,2.103981,0.0,light,702.398,648.994,608.695,48.206523,789.236,777.871333,764.801,12.306473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,152.0,152.0,0.0,152.0,152.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,48.0,45.333333,42.0,3.05505,plangate_adaptive_react_recovery_light,344.1,182.4,0.0,172.981415,168.0,160.333333,152.0,8.020806,0.24,0.226667,0.21,0.015275
0.958333,0.909722,0.875,0.043368,6.0,3.333333,0.0,3.05505,6.0,4.333333,2.0,2.081666,100,0.0,0.0,0.0,0.0,16.1411,14.981567,14.0187,1.074781,0.1,light,666.241,652.805,644.544,11.737778,779.933,768.327667,758.069,10.994033,1.0,0.666667,0.0,0.57735,1.0,0.666667,0.0,0.57735,152.0,152.0,152.0,0.0,152.0,152.0,152.0,0.0,1.0,0.666667,0.0,0.57735,1.0,0.666667,0.0,0.57735,3,46.0,43.666667,42.0,2.081666,plangate_adaptive_react_recovery_light,872.8,454.866667,2.5,436.170567,172.0,165.666667,156.0,8.504901,0.23,0.218333,0.21,0.010408
0.916667,0.868056,0.791667,0.06697,20.0,13.333333,1.0,10.692677,10.0,6.333333,4.0,3.21455,100,0.0,0.0,0.0,0.0,16.1314,13.729567,12.0564,2.132984,0.2,light,634.045,579.802,500.078,70.52482,789.016,773.817333,761.669,13.926342,4.0,3.0,1.0,1.732051,5.0,3.333333,1.0,2.081666,152.0,152.0,152.0,0.0,152.0,152.0,152.0,0.0,5.0,3.333333,1.0,2.081666,5.0,3.333333,1.0,2.081666,3,44.0,41.666667,38.0,3.21455,plangate_adaptive_react_recovery_light,2241.0,2101.466667,1921.5,163.542665,194.0,178.0,169.0,13.892444,0.22,0.208333,0.19,0.016073
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,5.8259,5.666067,5.5849,0.138425,0.0,strict,691.197,670.584667,656.934,18.161412,801.531,786.355333,776.883,13.276934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,184.0,184.0,0.0,184.0,184.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,16.0,16.0,16.0,0.0,plangate_adaptive_react_recovery_strict,0.0,0.0,0.0,0.0,184.0,184.0,184.0,0.0,0.08,0.08,0.08,0.0
1.0,0.979167,0.9375,0.036084,10.0,6.333333,3.0,3.511885,1.0,0.333333,0.0,0.57735,50,0.0,0.0,0.0,0.0,6.6554,6.174333,5.743,0.458229,0.1,strict,531.25,512.381667,488.114,22.069056,760.886,739.383667,723.648,19.277137,2.0,1.333333,1.0,0.57735,2.0,1.333333,1.0,0.57735,184.0,184.0,184.0,0.0,184.0,184.0,184.0,0.0,2.0,1.333333,1.0,0.57735,2.0,1.333333,1.0,0.57735,3,16.0,15.666667,15.0,0.57735,plangate_adaptive_react_recovery_strict,729.2,243.066667,0.0,421.003816,190.0,186.0,184.0,3.464102,0.08,0.078333,0.075,0.002887
1.0,0.79902,0.647059,0.181505,5.0,3.333333,1.0,2.081666,6.0,3.333333,0.0,3.05505,50,0.0,0.0,0.0,0.0,5.3392,4.573833,3.9113,0.719483,0.2,strict,602.242,488.854667,309.611,157.038269,780.028,764.417333,750.641,14.779125,2.0,1.333333,1.0,0.57735,2.0,1.333333,1.0,0.57735,184.0,183.666667,183.0,0.57735,184.0,183.666667,183.0,0.57735,2.0,1.333333,1.0,0.57735,2.0,1.333333,1.0,0.57735,3,16.0,13.0,11.0,2.645751,plangate_adaptive_react_recovery_strict,1623.6,944.5,0.0,843.710324,205.0,197.0,184.0,11.357817,0.08,0.065,0.055,0.013229
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,5.6579,5.558133,5.3708,0.16235,0.0,strict,575.702,530.976,493.294,41.653128,763.621,749.164667,740.821,12.56915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,184.0,184.0,0.0,184.0,184.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,16.0,16.0,16.0,0.0,plangate_adaptive_react_recovery_strict,0.0,0.0,0.0,0.0,184.0,184.0,184.0,0.0,0.08,0.08,0.08,0.0
0.941176,0.855392,0.8125,0.074291,2.0,0.666667,0.0,1.154701,3.0,2.333333,1.0,1.154701,100,0.0,0.0,0.0,0.0,5.8732,5.3637,4.3661,0.864013,0.1,strict,564.757,419.778333,269.183,147.867027,733.825,709.722,692.896,21.412889,1.0,0.333333,0.0,0.57735,1.0,0.333333,0.0,0.57735,184.0,183.666667,183.0,0.57735,184.0,183.666667,183.0,0.57735,1.0,0.333333,0.0,0.57735,1.0,0.333333,0.0,0.57735,3,16.0,14.0,13.0,1.732051,plangate_adaptive_react_recovery_strict,1572.0,829.533333,4.7,786.889778,197.0,192.333333,185.0,6.429101,0.08,0.07,0.065,0.00866
1.0,0.958333,0.9375,0.036084,11.0,7.666667,4.0,3.511885,1.0,0.666667,0.0,0.57735,100,0.0,0.0,0.0,0.0,6.9776,6.178633,5.6118,0.711876,0.2,strict,503.896,382.113,307.022,106.418749,757.222,656.653667,574.837,92.62716,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,184.0,184.0,184.0,0.0,184.0,184.0,184.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,3,16.0,15.333333,15.0,0.57735,plangate_adaptive_react_recovery_strict,782.1,406.566667,0.0,391.972452,190.0,187.333333,184.0,3.05505,0.08,0.076667,0.075,0.002887
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,5.7829,5.497,5.0365,0.402669,0.0,strict,674.702,642.190333,621.728,28.468421,782.599,768.975333,752.441,15.288238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,184.0,184.0,0.0,184.0,184.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,16.0,16.0,16.0,0.0,plangate_adaptive_strict,0.0,0.0,0.0,0.0,184.0,184.0,184.0,0.0,0.08,0.08,0.08,0.0
0.875,0.854167,0.8125,0.036084,0.0,0.0,0.0,0.0,3.0,2.333333,2.0,0.57735,50,0.0,0.0,0.0,0.0,5.4235,4.9209,4.6136,0.438852,0.1,strict,655.605,537.655333,430.247,113.048206,781.853,776.518667,768.014,7.444309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,184.0,184.0,0.0,184.0,184.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,14.0,13.666667,13.0,0.57735,plangate_adaptive_strict,1634.3,1266.1,962.3,340.597299,198.0,196.666667,195.0,1.527525,0.07,0.068333,0.065,0.002887
0.875,0.729167,0.5,0.200909,0.0,0.0,0.0,0.0,8.0,4.333333,2.0,3.21455,50,0.0,0.0,0.0,0.0,5.1199,4.193067,3.0484,1.05279,0.2,strict,616.316,566.738667,537.02,43.217345,759.983,758.328667,756.012,2.066694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,184.0,184.0,0.0,184.0,184.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,14.0,11.666667,8.0,3.21455,plangate_adaptive_strict,1781.6,1155.3,413.1,691.572606,212.0,200.0,192.0,10.583005,0.07,0.058333,0.04,0.016073
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,6.1592,5.705267,5.4296,0.396123,0.0,strict,629.195,586.822333,546.834,41.232237,767.883,740.245667,687.802,45.4396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,183.666667,183.0,0.57735,184.0,183.666667,183.0,0.57735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,17.0,16.333333,16.0,0.57735,plangate_adaptive_strict,0.0,0.0,0.0,0.0,184.0,183.666667,183.0,0.57735,0.085,0.081667,0.08,0.002887
0.875,0.854167,0.8125,0.036084,0.0,0.0,0.0,0.0,3.0,2.333333,2.0,0.57735,100,0.0,0.0,0.0,0.0,5.2271,4.685567,3.8254,0.753217,0.1,strict,551.169,499.020333,405.923,80.818903,801.551,766.501,740.59,31.491298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,184.0,184.0,0.0,184.0,184.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,14.0,13.666667,13.0,0.57735,plangate_adaptive_strict,1434.2,890.366667,560.8,474.488718,197.0,194.666667,192.0,2.516611,0.07,0.068333,0.065,0.002887
0.882353,0.814951,0.75,0.066211,0.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,100,0.0,0.0,0.0,0.0,7.4508,5.7102,3.8454,1.805906,0.2,strict,423.823,362.484333,293.738,65.358105,679.281,651.364333,618.629,30.611778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,183.666667,183.0,0.57735,184.0,183.666667,183.0,0.57735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,15.0,13.333333,12.0,1.527525,plangate_adaptive_strict,2207.5,1094.966667,224.0,1013.574814,207.0,198.333333,189.0,9.0185,0.075,0.066667,0.06,0.007638
0.464088,0.431047,0.406593,0.029694,0.0,0.0,0.0,0.0,108.0,104.333333,97.0,6.350853,50,0.0,0.0,0.0,0.0,0.8073,0.634233,0.5318,0.150721,0.0,control_no_capacity,45449.317,45386.263333,45304.894,73.933067,45978.881,45930.907333,45903.077,41.723818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,16.666667,13.0,3.21455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,84.0,79.0,74.0,5.0,plangate_no_capacity_step0,4097844.4,3924661.033333,3796556.8,155620.212938,621.0,596.333333,572.0,24.501701,0.42,0.395,0.37,0.025
