admitted_sessions_max,admitted_sessions_mean,admitted_sessions_min,admitted_sessions_std,admitted_success_rate_max,admitted_success_rate_mean,admitted_success_rate_min,admitted_success_rate_std,avoided_replay_steps_max,avoided_replay_steps_mean,avoided_replay_steps_min,avoided_replay_steps_std,cascade_failed_max,cascade_failed_mean,cascade_failed_min,cascade_failed_std,concurrency,duplicate_side_effect_max,duplicate_side_effect_mean,duplicate_side_effect_min,duplicate_side_effect_std,effective_goodput_max,effective_goodput_mean,effective_goodput_min,effective_goodput_std,failure_rate,p95_ms_max,p95_ms_mean,p95_ms_min,p95_ms_std,post_resume_success_max,post_resume_success_mean,post_resume_success_min,post_resume_success_std,rejected_s0_max,rejected_s0_mean,rejected_s0_min,rejected_s0_std,resume_attempted_max,resume_attempted_mean,resume_attempted_min,resume_attempted_std,resume_recovered_max,resume_recovered_mean,resume_recovered_min,resume_recovered_std,runs,step0_reject_rate_max,step0_reject_rate_mean,step0_reject_rate_min,step0_reject_rate_std,success_max,success_mean,success_min,success_std,variant,wasted_service_ms_max,wasted_service_ms_mean,wasted_service_ms_min,wasted_service_ms_std,wasted_tool_calls_max,wasted_tool_calls_mean,wasted_tool_calls_min,wasted_tool_calls_std,workflow_success_rate_max,workflow_success_rate_mean,workflow_success_rate_min,workflow_success_rate_std
42.0,38.2,35.0,2.588436,0.952381,0.88323,0.837838,0.042422,14.0,11.2,5.0,3.63318,6.0,4.4,2.0,1.516575,20,0.0,0.0,0.0,0.0,12.6751,10.55452,8.8504,1.507591,0.2,623.137,526.881,476.481,56.440553,5.0,3.4,1.0,1.516575,165.0,161.8,158.0,2.588436,5.0,3.4,1.0,1.516575,5.0,3.4,1.0,1.516575,5,0.825,0.809,0.79,0.012942,40.0,33.8,31.0,3.701351,plangate_adaptive_react_recovery,3071.2,1502.98,292.9,1070.517014,188.0,181.0,165.0,9.300538,0.2,0.169,0.155,0.018507
30.0,30.0,30.0,0.0,1.0,0.993333,0.966667,0.014907,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.447214,50,0.0,0.0,0.0,0.0,11.8628,11.14362,10.6654,0.461615,0.0,450.271,392.1106,236.207,88.753633,0.0,0.0,0.0,0.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.85,0.85,0.85,0.0,30.0,29.8,29.0,0.447214,plangate_adaptive_react_recovery,1.3,0.26,0.0,0.581378,172.0,170.4,170.0,0.894427,0.15,0.149,0.145,0.002236
30.0,30.0,30.0,0.0,1.0,0.953333,0.9,0.038006,9.0,5.0,0.0,3.316625,3.0,1.4,0.0,1.140175,50,0.0,0.0,0.0,0.0,12.068,11.22708,10.0064,0.817902,0.1,300.621,252.6076,229.309,28.064378,3.0,1.4,0.0,1.140175,170.0,170.0,170.0,0.0,3.0,1.4,0.0,1.140175,3.0,1.4,0.0,1.140175,5,0.85,0.85,0.85,0.0,30.0,28.6,27.0,1.140175,plangate_adaptive_react_recovery,1918.9,785.16,0.0,742.446849,181.0,176.6,170.0,4.722288,0.15,0.143,0.135,0.005701
31.0,30.4,30.0,0.547723,0.966667,0.855914,0.774194,0.070473,14.0,8.2,1.0,5.848077,7.0,4.4,1.0,2.19089,50,0.0,0.0,0.0,0.0,11.7352,10.50634,8.8315,1.138904,0.2,295.573,240.1054,187.326,40.068522,4.0,2.6,1.0,1.140175,170.0,169.6,169.0,0.547723,4.0,2.6,1.0,1.140175,4.0,2.6,1.0,1.140175,5,0.85,0.848,0.845,0.002739,29.0,26.0,24.0,1.870829,plangate_adaptive_react_recovery,2479.0,1254.48,4.1,875.689675,196.0,188.2,172.0,9.338094,0.145,0.13,0.12,0.009354
30.0,30.0,30.0,0.0,1.0,0.993333,0.966667,0.014907,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.447214,100,0.0,0.0,0.0,0.0,12.014,11.1834,10.1596,0.906525,0.0,545.783,342.2376,244.044,122.930819,0.0,0.0,0.0,0.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.85,0.85,0.85,0.0,30.0,29.8,29.0,0.447214,plangate_adaptive_react_recovery,180.8,36.16,0.0,80.856218,174.0,170.8,170.0,1.788854,0.15,0.149,0.145,0.002236
30.0,30.0,30.0,0.0,1.0,0.92,0.833333,0.069122,8.0,4.0,0.0,2.915476,5.0,2.4,0.0,2.073644,100,0.0,0.0,0.0,0.0,12.1535,10.26788,8.5595,1.338776,0.1,395.0,278.477,220.332,71.292199,2.0,1.2,0.0,0.83666,170.0,170.0,170.0,0.0,2.0,1.2,0.0,0.83666,2.0,1.2,0.0,0.83666,5,0.85,0.85,0.85,0.0,30.0,27.6,25.0,2.073644,plangate_adaptive_react_recovery,2846.8,765.82,0.0,1220.325986,202.0,180.6,170.0,13.069047,0.15,0.138,0.125,0.010368
30.0,30.0,30.0,0.0,0.966667,0.92,0.866667,0.038006,26.0,10.0,0.0,11.401754,4.0,2.4,1.0,1.140175,100,0.0,0.0,0.0,0.0,12.7396,10.91948,9.4161,1.231089,0.2,396.214,253.4732,197.873,81.039512,5.0,2.4,0.0,2.073644,170.0,170.0,170.0,0.0,5.0,2.4,0.0,2.073644,5.0,2.4,0.0,2.073644,5,0.85,0.85,0.85,0.0,29.0,27.6,26.0,1.140175,plangate_adaptive_react_recovery,1940.3,711.7,105.0,719.215402,186.0,179.2,173.0,4.816638,0.145,0.138,0.13,0.005701
195.0,178.6,159.0,14.707141,0.685535,0.560676,0.494048,0.076104,0.0,0.0,0.0,0.0,96.0,79.0,50.0,17.334936,20,0.0,0.0,0.0,0.0,0.7406,0.48884,0.3499,0.154713,0.0,45314.264,36372.7936,793.753,19889.331992,0.0,0.0,0.0,0.0,41.0,21.4,5.0,14.707141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.205,0.107,0.025,0.073536,109.0,99.6,83.0,9.989995,plangate_no_capacity_step0,4253495.7,3530166.9,2135930.7,820879.345193,619.0,530.2,353.0,104.176293,0.545,0.498,0.415,0.04995
185.0,169.8,160.0,10.18332,0.570552,0.498648,0.457143,0.046685,0.0,0.0,0.0,0.0,99.0,85.4,70.0,12.095454,20,0.0,0.0,0.0,0.0,0.6234,0.43652,0.3402,0.111547,0.1,45448.283,45323.8488,45193.846,125.312957,0.0,0.0,0.0,0.0,40.0,30.2,15.0,10.18332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.2,0.151,0.075,0.050917,93.0,84.4,80.0,5.412947,plangate_no_capacity_step0,3980961.8,3352176.02,2541501.7,637958.391895,628.0,539.4,437.0,82.184548,0.465,0.422,0.4,0.027065
172.0,147.8,128.0,17.412639,0.617188,0.515099,0.465116,0.06149,0.0,0.0,0.0,0.0,92.0,72.4,49.0,16.592167,20,0.0,0.0,0.0,0.0,0.813,0.53164,0.3953,0.166177,0.2,45441.079,36357.6462,743.068,19909.545457,0.0,0.0,0.0,0.0,72.0,52.2,28.0,17.412639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.36,0.261,0.14,0.087063,80.0,75.4,70.0,4.09878,plangate_no_capacity_step0,3365496.6,2397392.3,1343230.0,808395.64975,530.0,442.8,335.0,75.221008,0.4,0.377,0.35,0.020494
77.0,64.8,52.0,10.329569,0.655172,0.508101,0.25974,0.165999,0.0,0.0,0.0,0.0,57.0,33.0,18.0,15.652476,50,0.0,0.0,0.0,0.0,0.8267,0.67396,0.4237,0.167303,0.0,593.882,376.8068,244.361,147.306163,0.0,0.0,0.0,0.0,148.0,135.2,123.0,10.329569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.74,0.676,0.615,0.051648,39.0,31.8,20.0,7.886698,plangate_no_capacity_step0,508274.0,361331.68,232385.9,104616.582466,302.0,242.4,214.0,34.875493,0.195,0.159,0.1,0.039433
110.0,92.0,78.0,14.439529,0.527273,0.339164,0.130952,0.148801,0.0,0.0,0.0,0.0,77.0,60.2,47.0,13.736812,50,0.0,0.0,0.0,0.0,1.229,0.67958,0.2332,0.356611,0.1,45158.182,18224.4096,217.825,24524.354269,0.0,0.0,0.0,0.0,122.0,108.0,90.0,14.439529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.61,0.54,0.45,0.072198,58.0,31.8,11.0,16.843396,plangate_no_capacity_step0,647125.6,480583.62,323205.3,121088.196715,349.0,279.4,233.0,44.031807,0.29,0.159,0.055,0.084217
