comparison,concurrency,failure_rate,mean_delta,metric,n_ng,n_plangate_adaptive,n_plangate_adaptive_react_recovery,n_plangate_no_capacity_step0,n_plangate_strict,ng_ci_high,ng_ci_low,ng_mean,plangate_adaptive_ci_high,plangate_adaptive_ci_low,plangate_adaptive_mean,plangate_adaptive_react_recovery_ci_high,plangate_adaptive_react_recovery_ci_low,plangate_adaptive_react_recovery_mean,plangate_no_capacity_step0_ci_high,plangate_no_capacity_step0_ci_low,plangate_no_capacity_step0_mean,plangate_strict_ci_high,plangate_strict_ci_low,plangate_strict_mean
adaptive_vs_strict,50,0.1,-184.789,p95_ms,,5,,,5,,,,371.4974,215.3702,286.7476,,,,,,,544.7424,385.4342,471.5366
adaptive_vs_strict,50,0.2,-0.4,rejected_s0,,5,,,5,,,,170.0,169.2,169.6,,,,,,,170.0,170.0,170.0
adaptive_vs_strict,50,0.2,-0.002,step0_reject_rate,,5,,,5,,,,0.85,0.846,0.848,,,,,,,0.85,0.85,0.85
adaptive_vs_strict,50,0.2,1.0,cascade_failed,,5,,,5,,,,7.8,4.6,6.4,,,,,,,6.0,4.6,5.4
adaptive_vs_strict,50,0.2,113.12,wasted_service_ms,,5,,,5,,,,1562.64,1042.3,1304.96,,,,,,,1633.16,897.62,1191.84
adaptive_vs_strict,50,0.2,-0.003,workflow_success_rate,,5,,,5,,,,0.129,0.113,0.12,,,,,,,0.127,0.12,0.123
adaptive_vs_strict,50,0.2,-0.030323,admitted_success_rate,,5,,,5,,,,0.847957,0.743441,0.789677,,,,,,,0.846667,0.8,0.82
adaptive_vs_strict,50,0.2,-97.5644,p95_ms,,5,,,5,,,,247.604,228.727,238.6114,,,,,,,422.6818,250.3708,336.1758
adaptive_vs_strict,100,0.0,0.0,rejected_s0,,5,,,5,,,,170.0,170.0,170.0,,,,,,,170.0,170.0,170.0
adaptive_vs_strict,100,0.0,0.0,step0_reject_rate,,5,,,5,,,,0.85,0.85,0.85,,,,,,,0.85,0.85,0.85
adaptive_vs_strict,100,0.0,-0.4,cascade_failed,,5,,,5,,,,2.2,0.2,1.2,,,,,,,3.8,0.2,1.6
adaptive_vs_strict,100,0.0,-107.24,wasted_service_ms,,5,,,5,,,,472.6,1.02,184.54,,,,,,,780.98,0.36,291.78
adaptive_vs_strict,100,0.0,0.002,workflow_success_rate,,5,,,5,,,,0.149,0.139,0.144,,,,,,,0.149,0.131,0.142
adaptive_vs_strict,100,0.0,0.013333,admitted_success_rate,,5,,,5,,,,0.993333,0.926667,0.96,,,,,,,0.993333,0.873333,0.946667
adaptive_vs_strict,100,0.0,-52.9972,p95_ms,,5,,,5,,,,502.9914,280.2146,391.603,,,,,,,531.6658,345.2278,444.6002
adaptive_vs_strict,100,0.1,0.2,rejected_s0,,5,,,5,,,,170.0,170.0,170.0,,,,,,,170.0,169.4,169.8
adaptive_vs_strict,100,0.1,0.001,step0_reject_rate,,5,,,5,,,,0.85,0.85,0.85,,,,,,,0.85,0.847,0.849
adaptive_vs_strict,100,0.1,0.4,cascade_failed,,5,,,5,,,,6.2,2.8,4.4,,,,,,,5.2,2.8,4.0
adaptive_vs_strict,100,0.1,85.82,wasted_service_ms,,5,,,5,,,,1795.98,1069.06,1432.52,,,,,,,2134.48,595.26,1346.7
adaptive_vs_strict,100,0.1,-0.003,workflow_success_rate,,5,,,5,,,,0.136,0.118,0.128,,,,,,,0.137,0.125,0.131
adaptive_vs_strict,100,0.1,-0.014194,admitted_success_rate,,5,,,5,,,,0.906667,0.786667,0.853333,,,,,,,0.906667,0.827527,0.867527
adaptive_vs_strict,100,0.1,85.9424,p95_ms,,5,,,5,,,,497.073,315.391,406.232,,,,,,,372.0164,259.6278,320.2896
adaptive_vs_strict,100,0.2,-0.2,rejected_s0,,5,,,5,,,,170.0,169.4,169.8,,,,,,,170.0,170.0,170.0
adaptive_vs_strict,100,0.2,-0.001,step0_reject_rate,,5,,,5,,,,0.85,0.847,0.849,,,,,,,0.85,0.85,0.85
adaptive_vs_strict,100,0.2,-0.8,cascade_failed,,5,,,5,,,,7.0,3.6,5.2,,,,,,,7.6,4.6,6.0
adaptive_vs_strict,100,0.2,-1306.38,wasted_service_ms,,5,,,5,,,,1902.0,627.14,1218.3,,,,,,,3416.78,1567.46,2524.68
adaptive_vs_strict,100,0.2,0.005,workflow_success_rate,,5,,,5,,,,0.132,0.118,0.125,,,,,,,0.127,0.111,0.12
adaptive_vs_strict,100,0.2,0.028387,admitted_success_rate,,5,,,5,,,,0.88,0.771828,0.828387,,,,,,,0.846667,0.74,0.8
adaptive_vs_strict,100,0.2,-107.336,p95_ms,,5,,,5,,,,287.503,217.6922,246.7422,,,,,,,470.879,249.5384,354.0782
adaptive_vs_no_capacity_step0,20,0.0,-79.0,cascade_failed,,5,,5,,,,,0.0,0.0,0.0,,,,90.4,64.0,79.0,,,
adaptive_vs_no_capacity_step0,20,0.0,-3530166.9,wasted_service_ms,,5,,5,,,,,0.0,0.0,0.0,,,,4035550.86,2819214.78,3530166.9,,,
adaptive_vs_no_capacity_step0,20,0.0,-365.2,wasted_tool_calls,,5,,5,,,,,168.2,161.4,165.0,,,,594.8,441.4,530.2,,,
adaptive_vs_no_capacity_step0,20,0.0,-35703.403,p95_ms,,5,,5,,,,,701.8572,628.7374,669.3906,,,,45293.9802,18580.2626,36372.7936,,,
adaptive_vs_no_capacity_step0,20,0.0,7.5083,effective_goodput,,5,,5,,,,,9.4207,6.86572,7.99714,,,,0.61976,0.38604,0.48884,,,
adaptive_vs_no_capacity_step0,20,0.0,-0.323,workflow_success_rate,,5,,5,,,,,0.193,0.159,0.175,,,,0.531,0.453,0.498,,,
adaptive_vs_no_capacity_step0,20,0.0,0.439324,admitted_success_rate,,5,,5,,,,,1.0,1.0,1.0,,,,0.62699,0.509787,0.560676,,,
adaptive_vs_no_capacity_step0,20,0.1,-81.2,cascade_failed,,5,,5,,,,,4.8,3.6,4.2,,,,94.8,76.0,85.4,,,
adaptive_vs_no_capacity_step0,20,0.1,-3350255.34,wasted_service_ms,,5,,5,,,,,2475.24,1499.24,1920.68,,,,3850794.4,2853557.64,3352176.02,,,
