comparison,concurrency,failure_rate,mean_delta,metric,n_ng,n_plangate_adaptive,n_plangate_adaptive_react_recovery,n_plangate_no_capacity_step0,n_plangate_strict,ng_ci_high,ng_ci_low,ng_mean,plangate_adaptive_ci_high,plangate_adaptive_ci_low,plangate_adaptive_mean,plangate_adaptive_react_recovery_ci_high,plangate_adaptive_react_recovery_ci_low,plangate_adaptive_react_recovery_mean,plangate_no_capacity_step0_ci_high,plangate_no_capacity_step0_ci_low,plangate_no_capacity_step0_mean,plangate_strict_ci_high,plangate_strict_ci_low,plangate_strict_mean
adaptive_recovery_vs_adaptive,100,0.0,-1.0,cascade_failed,,5,5,,,,,,2.2,0.2,1.2,0.6,0.0,0.2,,,,,,
adaptive_recovery_vs_adaptive,100,0.0,0.0,duplicate_side_effect,,5,5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
adaptive_recovery_vs_adaptive,100,0.0,-148.38,wasted_service_ms,,5,5,,,,,,472.6,1.02,184.54,108.48,0.0,36.16,,,,,,
adaptive_recovery_vs_adaptive,100,0.1,1.2,resume_recovered,,5,5,,,,,,0.0,0.0,0.0,1.8,0.6,1.2,,,,,,
adaptive_recovery_vs_adaptive,100,0.1,1.2,post_resume_success,,5,5,,,,,,0.0,0.0,0.0,1.8,0.6,1.2,,,,,,
adaptive_recovery_vs_adaptive,100,0.1,4.0,avoided_replay_steps,,5,5,,,,,,0.0,0.0,0.0,6.4,1.6,4.0,,,,,,
adaptive_recovery_vs_adaptive,100,0.1,-2.0,cascade_failed,,5,5,,,,,,6.2,2.8,4.4,4.0,0.8,2.4,,,,,,
adaptive_recovery_vs_adaptive,100,0.1,0.0,duplicate_side_effect,,5,5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
adaptive_recovery_vs_adaptive,100,0.1,-666.7,wasted_service_ms,,5,5,,,,,,1795.98,1069.06,1432.52,1884.36,22.58,765.82,,,,,,
adaptive_recovery_vs_adaptive,100,0.2,2.4,resume_recovered,,5,5,,,,,,0.0,0.0,0.0,4.0,0.8,2.4,,,,,,
adaptive_recovery_vs_adaptive,100,0.2,2.4,post_resume_success,,5,5,,,,,,0.0,0.0,0.0,4.0,0.8,2.4,,,,,,
adaptive_recovery_vs_adaptive,100,0.2,10.0,avoided_replay_steps,,5,5,,,,,,0.0,0.0,0.0,19.6,1.6,10.0,,,,,,
adaptive_recovery_vs_adaptive,100,0.2,-2.8,cascade_failed,,5,5,,,,,,7.0,3.6,5.2,3.2,1.6,2.4,,,,,,
adaptive_recovery_vs_adaptive,100,0.2,0.0,duplicate_side_effect,,5,5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
adaptive_recovery_vs_adaptive,100,0.2,-506.6,wasted_service_ms,,5,5,,,,,,1902.0,627.14,1218.3,1351.42,263.16,711.7,,,,,,
adaptive_recovery_vs_no_capacity_step0,20,0.0,-79.0,cascade_failed,,,5,5,,,,,,,,0.0,0.0,0.0,90.4,64.0,79.0,,,
adaptive_recovery_vs_no_capacity_step0,20,0.0,-3530166.9,wasted_service_ms,,,5,5,,,,,,,,0.0,0.0,0.0,4035550.86,2819214.78,3530166.9,,,
adaptive_recovery_vs_no_capacity_step0,20,0.0,0.0,post_resume_success,,,5,5,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
adaptive_recovery_vs_no_capacity_step0,20,0.0,0.0,duplicate_side_effect,,,5,5,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
adaptive_recovery_vs_no_capacity_step0,20,0.1,-84.4,cascade_failed,,,5,5,,,,,,,,1.6,0.4,1.0,94.8,76.0,85.4,,,
adaptive_recovery_vs_no_capacity_step0,20,0.1,-3351885.04,wasted_service_ms,,,5,5,,,,,,,,661.18,2.32,290.98,3850794.4,2853557.64,3352176.02,,,
adaptive_recovery_vs_no_capacity_step0,20,0.1,2.4,post_resume_success,,,5,5,,,,,,,,3.4,1.6,2.4,0.0,0.0,0.0,,,
adaptive_recovery_vs_no_capacity_step0,20,0.1,0.0,duplicate_side_effect,,,5,5,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
adaptive_recovery_vs_no_capacity_step0,20,0.2,-68.0,cascade_failed,,,5,5,,,,,,,,5.4,3.2,4.4,84.4,59.8,72.4,,,
adaptive_recovery_vs_no_capacity_step0,20,0.2,-2395889.32,wasted_service_ms,,,5,5,,,,,,,,2355.76,727.8,1502.98,3041091.12,1780941.46,2397392.3,,,
adaptive_recovery_vs_no_capacity_step0,20,0.2,3.4,post_resume_success,,,5,5,,,,,,,,4.4,2.2,3.4,0.0,0.0,0.0,,,
adaptive_recovery_vs_no_capacity_step0,20,0.2,0.0,duplicate_side_effect,,,5,5,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
adaptive_recovery_vs_no_capacity_step0,50,0.0,-32.8,cascade_failed,,,5,5,,,,,,,,0.6,0.0,0.2,45.0,22.0,33.0,,,
adaptive_recovery_vs_no_capacity_step0,50,0.0,-361331.42,wasted_service_ms,,,5,5,,,,,,,,0.78,0.0,0.26,435070.24,287578.32,361331.68,,,
adaptive_recovery_vs_no_capacity_step0,50,0.0,0.0,post_resume_success,,,5,5,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
adaptive_recovery_vs_no_capacity_step0,50,0.0,0.0,duplicate_side_effect,,,5,5,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
adaptive_recovery_vs_no_capacity_step0,50,0.1,-58.8,cascade_failed,,,5,5,,,,,,,,2.4,0.6,1.4,71.2,50.0,60.2,,,
adaptive_recovery_vs_no_capacity_step0,50,0.1,-479798.46,wasted_service_ms,,,5,5,,,,,,,,1383.4,232.06,785.16,573075.12,378722.94,480583.62,,,
adaptive_recovery_vs_no_capacity_step0,50,0.1,1.4,post_resume_success,,,5,5,,,,,,,,2.4,0.6,1.4,0.0,0.0,0.0,,,
adaptive_recovery_vs_no_capacity_step0,50,0.1,0.0,duplicate_side_effect,,,5,5,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
adaptive_recovery_vs_no_capacity_step0,50,0.2,-69.4,cascade_failed,,,5,5,,,,,,,,6.0,2.6,4.4,80.0,67.0,73.8,,,
adaptive_recovery_vs_no_capacity_step0,50,0.2,-453568.86,wasted_service_ms,,,5,5,,,,,,,,1982.3,514.86,1254.48,511055.14,406826.66,454823.34,,,
adaptive_recovery_vs_no_capacity_step0,50,0.2,2.6,post_resume_success,,,5,5,,,,,,,,3.4,1.6,2.6,0.0,0.0,0.0,,,
adaptive_recovery_vs_no_capacity_step0,50,0.2,0.0,duplicate_side_effect,,,5,5,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
adaptive_recovery_vs_no_capacity_step0,100,0.0,-31.6,cascade_failed,,,5,5,,,,,,,,0.6,0.0,0.2,43.0,23.0,31.8,,,
adaptive_recovery_vs_no_capacity_step0,100,0.0,-591964.46,wasted_service_ms,,,5,5,,,,,,,,108.48,0.0,36.16,777844.3,424833.58,592000.62,,,
adaptive_recovery_vs_no_capacity_step0,100,0.0,0.0,post_resume_success,,,5,5,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
adaptive_recovery_vs_no_capacity_step0,100,0.0,0.0,duplicate_side_effect,,,5,5,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
adaptive_recovery_vs_no_capacity_step0,100,0.1,-36.2,cascade_failed,,,5,5,,,,,,,,4.0,0.8,2.4,49.6,28.2,38.6,,,
adaptive_recovery_vs_no_capacity_step0,100,0.1,-545202.64,wasted_service_ms,,,5,5,,,,,,,,1884.36,22.58,765.82,675360.02,444218.2,545968.46,,,
adaptive_recovery_vs_no_capacity_step0,100,0.1,1.2,post_resume_success,,,5,5,,,,,,,,1.8,0.6,1.2,0.0,0.0,0.0,,,
adaptive_recovery_vs_no_capacity_step0,100,0.1,0.0,duplicate_side_effect,,,5,5,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
adaptive_recovery_vs_no_capacity_step0,100,0.2,-34.6,cascade_failed,,,5,5,,,,,,,,3.2,1.6,2.4,48.4,25.6,37.0,,,
adaptive_recovery_vs_no_capacity_step0,100,0.2,-544655.74,wasted_service_ms,,,5,5,,,,,,,,1351.42,263.16,711.7,674548.22,416361.54,545367.44,,,
adaptive_recovery_vs_no_capacity_step0,100,0.2,2.4,post_resume_success,,,5,5,,,,,,,,4.0,0.8,2.4,0.0,0.0,0.0,,,
adaptive_recovery_vs_no_capacity_step0,100,0.2,0.0,duplicate_side_effect,,,5,5,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
adaptive_vs_ng,20,0.0,0.0,cascade_failed,5,5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
adaptive_vs_ng,20,0.0,0.0,wasted_service_ms,5,5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
adaptive_vs_ng,20,0.0,-0.779,workflow_success_rate,5,5,,,,0.964,0.943,0.954,0.193,0.159,0.175,,,,,,,,,
adaptive_vs_ng,20,0.0,-54.5762,p95_ms,5,5,,,,746.2586,698.8722,723.9668,701.8572,628.7374,669.3906,,,,,,,,,
adaptive_vs_ng,20,0.1,-11.8,cascade_failed,5,5,,,,19.0,12.2,16.0,4.8,3.6,4.2,,,,,,,,,
adaptive_vs_ng,20,0.1,-3080.2,wasted_service_ms,5,5,,,,5655.46,4142.92,5000.88,2475.24,1499.24,1920.68,,,,,,,,,
adaptive_vs_ng,20,0.1,-0.69,workflow_success_rate,5,5,,,,0.892,0.744,0.84,0.16,0.141,0.15,,,,,,,,,
adaptive_vs_ng,20,0.1,-38.2558,p95_ms,5,5,,,,642.539,579.3806,612.0126,604.133,534.548,573.7568,,,,,,,,,
adaptive_vs_ng,20,0.2,-28.8,cascade_failed,5,5,,,,37.6,34.8,36.2,8.4,6.4,7.4,,,,,,,,,
adaptive_vs_ng,20,0.2,-5943.74,wasted_service_ms,5,5,,,,10658.7,7185.62,8922.16,3656.16,2299.58,2978.42,,,,,,,,,
adaptive_vs_ng,20,0.2,-0.627,workflow_success_rate,5,5,,,,0.783,0.769,0.776,0.158,0.14,0.149,,,,,,,,,
adaptive_vs_ng,20,0.2,173.4578,p95_ms,5,5,,,,391.1796,243.588,316.085,515.6968,463.3888,489.5428,,,,,,,,,
adaptive_vs_ng,50,0.0,-41.0,cascade_failed,5,5,,,,46.6,37.4,42.6,2.8,0.4,1.6,,,,,,,,,
adaptive_vs_ng,50,0.0,-6784.76,wasted_service_ms,5,5,,,,8023.36,5438.44,6893.64,256.66,1.06,108.88,,,,,,,,,
adaptive_vs_ng,50,0.0,-0.219,workflow_success_rate,5,5,,,,0.443,0.297,0.361,0.148,0.136,0.142,,,,,,,,,
adaptive_vs_ng,50,0.0,123.5796,p95_ms,5,5,,,,262.3852,232.902,245.0664,479.3348,257.9572,368.646,,,,,,,,,
adaptive_vs_ng,50,0.1,-53.6,cascade_failed,5,5,,,,68.4,46.2,55.6,2.6,1.4,2.0,,,,,,,,,
adaptive_vs_ng,50,0.1,-8254.12,wasted_service_ms,5,5,,,,11963.72,6769.94,8896.96,1115.54,287.6,642.84,,,,,,,,,
adaptive_vs_ng,50,0.1,-0.117,workflow_success_rate,5,5,,,,0.344,0.145,0.257,0.143,0.137,0.14,,,,,,,,,
adaptive_vs_ng,50,0.1,71.4542,p95_ms,5,5,,,,225.4698,205.0732,215.2934,371.4974,215.3702,286.7476,,,,,,,,,
adaptive_vs_ng,50,0.2,-60.2,cascade_failed,5,5,,,,74.6,59.2,66.6,7.8,4.6,6.4,,,,,,,,,
adaptive_vs_ng,50,0.2,-8571.02,wasted_service_ms,5,5,,,,12188.88,7563.08,9875.98,1562.64,1042.3,1304.96,,,,,,,,,
adaptive_vs_ng,50,0.2,-0.16,workflow_success_rate,5,5,,,,0.351,0.217,0.28,0.129,0.113,0.12,,,,,,,,,
adaptive_vs_ng,50,0.2,12.9334,p95_ms,5,5,,,,235.7196,215.6364,225.678,247.604,228.727,238.6114,,,,,,,,,
adaptive_vs_ng,100,0.0,-49.2,cascade_failed,5,5,,,,69.2,38.0,50.4,2.2,0.2,1.2,,,,,,,,,
adaptive_vs_ng,100,0.0,-4739.46,wasted_service_ms,5,5,,,,6856.32,2991.68,4924.0,472.6,1.02,184.54,,,,,,,,,
adaptive_vs_ng,100,0.0,-0.035,workflow_success_rate,5,5,,,,0.238,0.094,0.179,0.149,0.139,0.144,,,,,,,,,
adaptive_vs_ng,100,0.0,195.3046,p95_ms,5,5,,,,211.458,176.6492,196.2984,502.9914,280.2146,391.603,,,,,,,,,
adaptive_vs_ng,100,0.1,-33.8,cascade_failed,5,5,,,,44.8,30.8,38.2,6.2,2.8,4.4,,,,,,,,,
adaptive_vs_ng,100,0.1,-3130.96,wasted_service_ms,5,5,,,,6452.64,2674.32,4563.48,1795.98,1069.06,1432.52,,,,,,,,,
adaptive_vs_ng,100,0.1,-0.092,workflow_success_rate,5,5,,,,0.25,0.19,0.22,0.136,0.118,0.128,,,,,,,,,
adaptive_vs_ng,100,0.1,195.8214,p95_ms,5,5,,,,221.7956,199.8472,210.4106,497.073,315.391,406.232,,,,,,,,,
adaptive_vs_ng,100,0.2,-41.8,cascade_failed,5,5,,,,60.2,32.4,47.0,7.0,3.6,5.2,,,,,,,,,
adaptive_vs_ng,100,0.2,-2617.78,wasted_service_ms,5,5,,,,5148.62,2623.96,3836.08,1902.0,627.14,1218.3,,,,,,,,,
adaptive_vs_ng,100,0.2,-0.054,workflow_success_rate,5,5,,,,0.213,0.147,0.179,0.132,0.118,0.125,,,,,,,,,
adaptive_vs_ng,100,0.2,43.2004,p95_ms,5,5,,,,214.8488,192.6918,203.5418,287.503,217.6922,246.7422,,,,,,,,,
