experiment,gateway,run_idx,sweep_key,sweep_val,raw_goodput_s,effective_goodput_s,success,rejected_s0,cascade_failed,p95_ms,e2e_p95_ms,source_csv
Exp5_ScaleConc,plangate_full,1,conc,20,32.81,32.81,48,152,0,809.8,2911.0,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,plangate_full,2,conc,20,41.87,41.87,59,141,0,809.6,3251.0,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,plangate_full,3,conc,20,49.01,49.01,61,139,0,811.1,2757.1,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,plangate_full,4,conc,20,34.65,34.65,50,150,0,809.8,2760.7,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,plangate_full,5,conc,20,49.76,49.76,65,135,0,810.6,2748.5,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,ng,1,conc,40,58.38,43.51,105,30,65,1853.4,8221.3,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,ng,2,conc,40,58.28,41.88,96,24,80,1839.9,8644.4,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,ng,3,conc,40,57.65,43.74,96,31,73,1851.3,9049.9,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,ng,4,conc,40,58.02,45.54,97,35,68,1850.1,8874.0,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,ng,5,conc,40,57.99,41.34,101,25,74,1842.5,8243.6,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,srl,1,conc,40,57.22,39.85,96,28,76,1843.4,8562.1,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,srl,2,conc,40,57.6,37.42,74,31,95,1839.0,8507.1,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,srl,3,conc,40,58.09,40.87,93,28,79,1832.1,8435.9,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,srl,4,conc,40,57.7,41.8,91,31,78,1808.1,7723.7,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,srl,5,conc,40,58.25,44.91,102,30,68,1831.0,8525.5,results/exp5_scaleconc/exp5_scaleconc_summary.csv
