gateway,run_idx,success,partial,all_rejected,error,cascade_failed,effective_goodput,effective_goodput_s,recovery_attempts,recovery_success,amendment_attempts,amendment_success,commitment_issued,v2_commitment_issued,commitment_required,client_rc,client_timed_out,csv,failure_rate,amendment_rate
wo_amendment,2,184,8,8,,16,184,10.0672,45,29,8,0,195,0,1,0,0,results\p3_failure_amendment_grid\F0.2_A0.2\wo_amendment\run2\plangate_ar\sessions.csv,0.2,0.2
wo_amendment,3,179,13,8,,21,179,9.8462,52,31,8,0,188,0,1,0,0,results\p3_failure_amendment_grid\F0.2_A0.2\wo_amendment\run3\plangate_ar\sessions.csv,0.2,0.2
wo_commitment,1,180,12,8,,20,180,9.8775,50,30,0,0,0,0,0,0,0,results\p3_failure_amendment_grid\F0.2_A0.2\wo_commitment\run1\plangate_ar\sessions.csv,0.2,0.2
wo_commitment,2,179,13,8,,21,179,9.8643,49,28,0,0,0,0,0,0,0,results\p3_failure_amendment_grid\F0.2_A0.2\wo_commitment\run2\plangate_ar\sessions.csv,0.2,0.2
wo_commitment,3,176,16,8,,24,176,9.764,53,29,0,0,0,0,0,0,0,results\p3_failure_amendment_grid\F0.2_A0.2\wo_commitment\run3\plangate_ar\sessions.csv,0.2,0.2
wo_recovery,1,94,98,8,,106,94,18.929,106,0,8,0,134,0,1,0,0,results\p3_failure_amendment_grid\F0.2_A0.2\wo_recovery\run1\plangate_ar\sessions.csv,0.2,0.2
wo_recovery,2,160,32,8,,40,160,31.7775,40,0,8,0,197,0,1,0,0,results\p3_failure_amendment_grid\F0.2_A0.2\wo_recovery\run2\plangate_ar\sessions.csv,0.2,0.2
wo_recovery,3,159,33,8,,41,159,30.6624,41,0,8,0,198,0,1,0,0,results\p3_failure_amendment_grid\F0.2_A0.2\wo_recovery\run3\plangate_ar\sessions.csv,0.2,0.2
plangate_full,1,190,9,1,,10,190,10.3844,60,50,6,5,195,5,1,0,0,results\p3_failure_amendment_grid\F0.3_A0.1\plangate_full\run1\plangate_ar\sessions.csv,0.3,0.1
plangate_full,2,187,11,2,,13,187,10.3319,60,47,6,4,198,4,1,0,0,results\p3_failure_amendment_grid\F0.3_A0.1\plangate_full\run2\plangate_ar\sessions.csv,0.3,0.1
plangate_full,3,187,12,1,,13,187,10.2389,60,47,6,5,194,5,1,0,0,results\p3_failure_amendment_grid\F0.3_A0.1\plangate_full\run3\plangate_ar\sessions.csv,0.3,0.1
wo_amendment,1,178,16,6,,22,178,9.7393,66,44,6,0,194,0,1,0,0,results\p3_failure_amendment_grid\F0.3_A0.1\wo_amendment\run1\plangate_ar\sessions.csv,0.3,0.1
wo_amendment,2,188,6,6,,12,188,10.3489,60,48,6,0,195,0,1,0,0,results\p3_failure_amendment_grid\F0.3_A0.1\wo_amendment\run2\plangate_ar\sessions.csv,0.3,0.1
wo_amendment,3,180,14,6,,20,180,9.8588,68,48,6,0,192,0,1,0,0,results\p3_failure_amendment_grid\F0.3_A0.1\wo_amendment\run3\plangate_ar\sessions.csv,0.3,0.1
wo_commitment,1,184,10,6,,16,184,10.0216,65,49,0,0,0,0,0,0,0,results\p3_failure_amendment_grid\F0.3_A0.1\wo_commitment\run1\plangate_ar\sessions.csv,0.3,0.1
wo_commitment,2,182,12,6,,18,182,10.034,64,46,0,0,0,0,0,0,0,results\p3_failure_amendment_grid\F0.3_A0.1\wo_commitment\run2\plangate_ar\sessions.csv,0.3,0.1
wo_commitment,3,180,14,6,,20,180,10.052,64,44,0,0,0,0,0,0,0,results\p3_failure_amendment_grid\F0.3_A0.1\wo_commitment\run3\plangate_ar\sessions.csv,0.3,0.1
wo_recovery,1,140,54,6,,60,140,26.0035,60,0,6,0,197,0,1,0,0,results\p3_failure_amendment_grid\F0.3_A0.1\wo_recovery\run1\plangate_ar\sessions.csv,0.3,0.1
wo_recovery,2,140,54,6,,60,140,24.1014,60,0,5,0,193,0,1,0,0,results\p3_failure_amendment_grid\F0.3_A0.1\wo_recovery\run2\plangate_ar\sessions.csv,0.3,0.1
wo_recovery,3,140,54,6,,60,140,25.7477,60,0,6,0,198,0,1,0,0,results\p3_failure_amendment_grid\F0.3_A0.1\wo_recovery\run3\plangate_ar\sessions.csv,0.3,0.1
plangate_full,1,192,8,0,,8,192,10.517,60,52,12,12,194,12,1,0,0,results\p3_failure_amendment_grid\F0.3_A0.2\plangate_full\run1\plangate_ar\sessions.csv,0.3,0.2
plangate_full,2,192,8,0,,8,192,10.4853,60,52,12,12,193,12,1,0,0,results\p3_failure_amendment_grid\F0.3_A0.2\plangate_full\run2\plangate_ar\sessions.csv,0.3,0.2
plangate_full,3,189,11,0,,11,189,10.3245,60,49,12,12,193,12,1,0,0,results\p3_failure_amendment_grid\F0.3_A0.2\plangate_full\run3\plangate_ar\sessions.csv,0.3,0.2
wo_amendment,1,176,12,12,,24,176,9.6714,67,43,12,0,193,0,1,0,0,results\p3_failure_amendment_grid\F0.3_A0.2\wo_amendment\run1\plangate_ar\sessions.csv,0.3,0.2
wo_amendment,2,172,16,12,,28,172,9.4378,67,39,12,0,193,0,1,0,0,results\p3_failure_amendment_grid\F0.3_A0.2\wo_amendment\run2\plangate_ar\sessions.csv,0.3,0.2
wo_amendment,3,178,10,12,,22,178,9.8185,67,45,12,0,193,0,1,0,0,results\p3_failure_amendment_grid\F0.3_A0.2\wo_amendment\run3\plangate_ar\sessions.csv,0.3,0.2
wo_commitment,1,182,6,12,,18,182,9.928,65,47,0,0,0,0,0,0,0,results\p3_failure_amendment_grid\F0.3_A0.2\wo_commitment\run1\plangate_ar\sessions.csv,0.3,0.2
wo_commitment,2,175,13,12,,25,175,9.7036,70,45,0,0,0,0,0,0,0,results\p3_failure_amendment_grid\F0.3_A0.2\wo_commitment\run2\plangate_ar\sessions.csv,0.3,0.2
wo_commitment,3,179,9,12,,21,179,9.8119,65,44,0,0,0,0,0,0,0,results\p3_failure_amendment_grid\F0.3_A0.2\wo_commitment\run3\plangate_ar\sessions.csv,0.3,0.2
wo_recovery,1,116,72,12,,84,116,23.7155,84,0,12,0,175,0,1,0,0,results\p3_failure_amendment_grid\F0.3_A0.2\wo_recovery\run1\plangate_ar\sessions.csv,0.3,0.2
wo_recovery,2,139,49,12,,61,139,25.8246,61,0,11,0,193,0,1,0,0,results\p3_failure_amendment_grid\F0.3_A0.2\wo_recovery\run2\plangate_ar\sessions.csv,0.3,0.2
wo_recovery,3,139,49,12,,61,139,27.0595,61,0,12,0,193,0,1,0,0,results\p3_failure_amendment_grid\F0.3_A0.2\wo_recovery\run3\plangate_ar\sessions.csv,0.3,0.2
