target,mode,concurrency,cohort,gateway_latency_us,cdf
plangate_full,plan_and_solve,10,all_requests,700.000,0.134249
plangate_full,plan_and_solve,10,all_requests,700.000,0.134561
plangate_full,plan_and_solve,10,all_requests,702.000,0.134874
plangate_full,plan_and_solve,10,all_requests,704.000,0.135186
plangate_full,plan_and_solve,10,all_requests,704.000,0.135498
plangate_full,plan_and_solve,10,all_requests,704.000,0.135810
plangate_full,plan_and_solve,10,all_requests,705.000,0.136122
plangate_full,plan_and_solve,10,all_requests,708.000,0.136435
plangate_full,plan_and_solve,10,all_requests,710.000,0.136747
plangate_full,plan_and_solve,10,all_requests,710.000,0.137059
plangate_full,plan_and_solve,10,all_requests,711.000,0.137371
plangate_full,plan_and_solve,10,all_requests,713.000,0.137683
plangate_full,plan_and_solve,10,all_requests,715.000,0.137996
plangate_full,plan_and_solve,10,all_requests,719.000,0.138308
plangate_full,plan_and_solve,10,all_requests,731.000,0.138620
plangate_full,plan_and_solve,10,all_requests,760.000,0.138932
plangate_full,plan_and_solve,10,all_requests,761.000,0.139244
plangate_full,plan_and_solve,10,all_requests,762.000,0.139557
plangate_full,plan_and_solve,10,all_requests,770.000,0.139869
plangate_full,plan_and_solve,10,all_requests,771.000,0.140181
plangate_full,plan_and_solve,10,all_requests,780.000,0.140493
plangate_full,plan_and_solve,10,all_requests,783.000,0.140805
plangate_full,plan_and_solve,10,all_requests,785.000,0.141118
plangate_full,plan_and_solve,10,all_requests,787.000,0.141430
plangate_full,plan_and_solve,10,all_requests,790.000,0.141742
plangate_full,plan_and_solve,10,all_requests,792.000,0.142054
plangate_full,plan_and_solve,10,all_requests,796.000,0.142367
plangate_full,plan_and_solve,10,all_requests,803.000,0.142679
plangate_full,plan_and_solve,10,all_requests,844.000,0.142991
plangate_full,plan_and_solve,10,all_requests,851.000,0.143303
plangate_full,plan_and_solve,10,all_requests,860.000,0.143615
plangate_full,plan_and_solve,10,all_requests,863.000,0.143928
plangate_full,plan_and_solve,10,all_requests,863.000,0.144240
plangate_full,plan_and_solve,10,all_requests,868.000,0.144552
