gateway,run_idx,sweep_key,sweep_val,success,rejected_s0,cascade_failed,raw_goodput,effective_goodput,raw_goodput_s,effective_goodput_s,p50_ms,p95_ms,p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,csv,error
srl,2,ps_ratio,0.5,200,0,0,2026.0,2026.0,65.8,65.8,463.0,1286.4,1639.0,2916.1,5133.2,5927.0,srl_ps_ratio0.5_run2.csv,
srl,3,ps_ratio,0.5,200,0,0,2026.0,2026.0,63.94,63.94,477.9,1294.0,2046.4,2918.1,5194.8,7177.7,srl_ps_ratio0.5_run3.csv,
srl,4,ps_ratio,0.5,200,0,0,2026.0,2026.0,63.83,63.83,456.4,1325.0,2423.9,2964.8,5517.1,6910.4,srl_ps_ratio0.5_run4.csv,
srl,5,ps_ratio,0.5,200,0,0,2026.0,2026.0,63.85,63.85,468.7,1293.6,2378.3,2859.8,5602.6,6724.4,srl_ps_ratio0.5_run5.csv,
rajomon,1,ps_ratio,0.5,33,154,13,405.0,315.0,31.57,24.55,2.7,1229.5,1430.7,2329.3,4925.0,5067.4,rajomon_ps_ratio0.5_run1.csv,
rajomon,2,ps_ratio,0.5,23,161,16,323.0,180.0,23.69,13.2,2.6,1309.1,1436.8,1456.5,4248.4,4437.0,rajomon_ps_ratio0.5_run2.csv,
rajomon,3,ps_ratio,0.5,31,153,16,406.0,301.0,27.7,20.53,3.1,1208.5,1391.1,2435.2,4732.6,5091.7,rajomon_ps_ratio0.5_run3.csv,
rajomon,4,ps_ratio,0.5,33,153,14,408.0,315.0,29.76,22.98,3.5,1217.0,1373.9,2384.4,4791.7,4885.7,rajomon_ps_ratio0.5_run4.csv,
rajomon,5,ps_ratio,0.5,37,145,18,443.0,350.0,34.56,27.31,155.5,1204.1,1434.3,2241.1,4814.6,4989.0,rajomon_ps_ratio0.5_run5.csv,
dagor,1,ps_ratio,0.5,103,87,10,1149.0,1086.0,58.64,55.42,407.1,1342.4,3166.9,2992.6,5716.2,6370.8,dagor_ps_ratio0.5_run1.csv,
dagor,2,ps_ratio,0.5,103,86,11,1147.0,1086.0,58.9,55.77,393.2,1285.0,2735.2,3019.7,5945.0,6721.0,dagor_ps_ratio0.5_run2.csv,
dagor,3,ps_ratio,0.5,91,92,17,1044.0,949.0,61.43,55.84,390.2,1193.3,1288.1,2801.4,4982.8,5728.4,dagor_ps_ratio0.5_run3.csv,
dagor,4,ps_ratio,0.5,84,94,22,980.0,887.0,61.98,56.1,387.2,1177.5,1355.0,2743.1,4945.3,5402.5,dagor_ps_ratio0.5_run4.csv,
dagor,5,ps_ratio,0.5,103,87,10,1149.0,1086.0,58.59,55.38,390.2,1370.5,2929.4,3045.2,6012.0,7228.1,dagor_ps_ratio0.5_run5.csv,
sbac,1,ps_ratio,0.5,200,0,0,2026.0,2026.0,64.45,64.45,466.0,1321.8,2790.5,2894.4,5537.0,6599.6,sbac_ps_ratio0.5_run1.csv,
sbac,2,ps_ratio,0.5,200,0,0,2026.0,2026.0,63.91,63.91,465.0,1300.7,2059.7,2981.7,5179.9,6500.2,sbac_ps_ratio0.5_run2.csv,
sbac,3,ps_ratio,0.5,200,0,0,2026.0,2026.0,63.84,63.84,453.0,1327.4,2589.1,2838.2,5429.5,7325.0,sbac_ps_ratio0.5_run3.csv,
sbac,4,ps_ratio,0.5,200,0,0,2026.0,2026.0,63.99,63.99,453.8,1335.6,1810.2,2911.4,5959.8,6700.8,sbac_ps_ratio0.5_run4.csv,
sbac,5,ps_ratio,0.5,200,0,0,2026.0,2026.0,63.78,63.78,460.6,1220.2,1427.8,2704.8,4944.5,5746.5,sbac_ps_ratio0.5_run5.csv,
plangate_full,1,ps_ratio,0.5,93,84,23,833.0,748.0,56.48,50.72,157.4,813.0,984.1,1127.7,2758.2,2894.2,plangate_full_ps_ratio0.5_run1.csv,
plangate_full,2,ps_ratio,0.5,94,83,23,849.0,765.0,52.8,47.58,156.7,921.3,1770.3,1140.5,3139.2,4119.8,plangate_full_ps_ratio0.5_run2.csv,
plangate_full,3,ps_ratio,0.5,94,84,22,848.0,764.0,56.84,51.21,157.9,832.4,979.0,1137.5,2824.3,3015.3,plangate_full_ps_ratio0.5_run3.csv,
plangate_full,4,ps_ratio,0.5,93,84,23,841.0,753.0,56.27,50.38,158.3,832.5,1043.4,1130.9,2775.9,3026.5,plangate_full_ps_ratio0.5_run4.csv,
plangate_full,5,ps_ratio,0.5,96,82,22,887.0,802.0,52.06,47.07,158.1,911.4,1636.4,1299.9,3552.1,5689.9,plangate_full_ps_ratio0.5_run5.csv,
ng,1,ps_ratio,0.7,200,0,0,2062.0,2062.0,65.11,65.11,491.9,1279.3,2038.3,2878.0,5428.8,6860.1,ng_ps_ratio0.7_run1.csv,
ng,2,ps_ratio,0.7,200,0,0,2062.0,2062.0,64.28,64.28,469.3,1291.2,2313.1,2913.0,5346.3,6768.8,ng_ps_ratio0.7_run2.csv,
ng,3,ps_ratio,0.7,200,0,0,2062.0,2062.0,63.83,63.83,457.2,1317.0,2735.0,2834.9,5400.7,6430.7,ng_ps_ratio0.7_run3.csv,
ng,4,ps_ratio,0.7,200,0,0,2062.0,2062.0,64.16,64.16,470.7,1308.2,2382.7,2755.0,6082.3,7427.3,ng_ps_ratio0.7_run4.csv,
