gateway,window_id,window_label,scale,runs,selected_trace_rows_mean,duration_s_mean,success_mean,success_rate_mean,abd_mean,abd_total_mean,cascade_failed_mean,cascade_rate_mean,all_rejected_mean,step0_rejected_mean,effective_goodput_s_mean,p50_ms_mean,p95_ms_mean,client_rc_mean,client_timed_out_mean
plangate_relaxed,normal,normal,1.0,3,24.0,52.421,6.666667,27.778,40.384667,40.384667,4.666667,19.444333,12.666667,12.666667,1.384065,56.490333,807.491333,0.0,0.0
plangate_relaxed,normal,normal,1.5,3,24.0,34.397333,5.666667,23.611333,40.346333,40.346333,3.666667,15.277667,14.666667,14.666667,1.537776,6.580667,807.374,0.0,0.0
plangate_relaxed,normal,normal,2.0,3,24.0,25.514667,6.666667,27.777667,48.656,48.656,6.333333,26.389,11.0,11.0,2.325497,56.825333,807.716,0.0,0.0
plangate_relaxed,peak_burst,peak-burst,1.0,3,24.0,51.125,6.666667,27.777667,32.777667,32.777667,3.333333,13.889,14.0,14.0,1.362551,6.640667,807.831333,0.0,0.0
plangate_relaxed,peak_burst,peak-burst,1.5,3,24.0,34.981,8.333333,34.722,37.161333,37.161333,5.0,20.833333,10.666667,10.666667,2.327635,106.593333,807.735,0.0,0.0
plangate_relaxed,peak_burst,peak-burst,2.0,3,24.0,25.515667,6.666667,27.777667,49.047667,49.047667,6.333333,26.388667,11.0,11.0,3.109155,56.742,807.733333,0.0,0.0
pp,burst,burst,1.0,3,24.0,53.704333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.229053,156.998,808.134,0.0,0.0
pp,burst,burst,1.5,3,24.0,36.519,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.838157,157.065,808.290333,0.0,0.0
pp,burst,burst,2.0,3,24.0,28.167667,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.203561,157.205667,808.111333,0.0,0.0
pp,normal,normal,1.0,3,24.0,52.834,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.948506,156.845667,807.599667,0.0,0.0
pp,normal,normal,1.5,3,24.0,34.548667,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.98525,157.322667,807.926333,0.0,0.0
pp,normal,normal,2.0,3,24.0,27.714,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.472028,157.294333,808.080667,0.0,0.0
pp,peak_burst,peak-burst,1.0,3,24.0,52.248333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.604716,157.105333,807.888,0.0,0.0
pp,peak_burst,peak-burst,1.5,3,24.0,35.782333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.71732,157.298,807.976,0.0,0.0
pp,peak_burst,peak-burst,2.0,3,24.0,28.100333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.728501,157.219,807.799333,0.0,0.0
rajomon,burst,burst,1.0,3,24.0,53.986,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.989661,157.234,808.649333,0.0,0.0
rajomon,burst,burst,1.5,3,24.0,37.303333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.320573,156.667333,807.95,0.0,0.0
rajomon,burst,burst,2.0,3,24.0,28.049667,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.552984,157.152333,807.874333,0.0,0.0
rajomon,normal,normal,1.0,3,24.0,52.575,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.585245,157.216667,807.729667,0.0,0.0
rajomon,normal,normal,1.5,3,24.0,35.948,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.779109,157.464,808.077,0.0,0.0
rajomon,normal,normal,2.0,3,24.0,25.991,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.646684,157.132667,808.243333,0.0,0.0
rajomon,peak_burst,peak-burst,1.0,3,24.0,52.507333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.849558,157.288333,807.733333,0.0,0.0
rajomon,peak_burst,peak-burst,1.5,3,24.0,34.927333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.407893,156.962667,807.665,0.0,0.0
rajomon,peak_burst,peak-burst,2.0,3,24.0,27.297667,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.372508,156.922333,807.690667,0.0,0.0
static,burst,burst,1.0,3,24.0,53.693333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.604465,157.121333,808.054,0.0,0.0
static,burst,burst,1.5,3,24.0,36.975333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.909835,157.322,807.965333,0.0,0.0
static,burst,burst,2.0,3,24.0,28.847667,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.533185,157.158667,807.973333,0.0,0.0
static,normal,normal,1.0,3,24.0,53.000667,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.773058,157.078333,808.034333,0.0,0.0
static,normal,normal,1.5,3,24.0,35.361333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.156635,157.157,808.406333,0.0,0.0
static,normal,normal,2.0,3,24.0,27.083333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.799059,156.917,807.847667,0.0,0.0
static,peak_burst,peak-burst,1.0,3,24.0,51.831667,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.691691,157.081,807.714667,0.0,0.0
static,peak_burst,peak-burst,1.5,3,24.0,34.564,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.844639,157.196,807.723333,0.0,0.0
static,peak_burst,peak-burst,2.0,3,24.0,26.795667,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.572286,157.085667,807.953,0.0,0.0
