mode,concurrency,run_idx,total_sessions,success,rejected_s0,cascade_failed,abd_pct,success_rate,rejected_s0_rate,semantic_failure_pct,effective_goodput_s,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_mean_ms,gw_lat_mean_us,gw_lat_p95_us,cross_node_session_pct,state_miss_count,duplicate_admission_count,max_global_active_sessions,elapsed_s,gateway_traffic
local_sticky,40,1,300,72,192,36,33.333333333333336,24.0,64.0,0.0,4.923633726187789,4118.600130081177,7857.41400718689,8538.84506225586,4173.427316877577,829414.7216699801,1813488.0,0.0,0,0,40,14.623346090316772,"{""http://127.0.0.1:9601"": 160, ""http://127.0.0.1:9602"": 140}"
local_sticky,40,2,300,83,183,34,29.05982905982906,27.666666666666668,61.0,0.0,5.441834365926996,3865.0009632110596,6403.5890102386475,8394.666910171509,4095.13062741383,810718.9354838709,1657050.0,0.0,0,0,40,15.252209901809692,"{""http://127.0.0.1:9601"": 160, ""http://127.0.0.1:9602"": 140}"
local_sticky,40,3,300,70,185,45,39.130434782608695,23.333333333333332,61.666666666666664,0.0,4.216544404406436,5192.55518913269,8575.453996658325,9123.709917068481,5303.984468323843,928274.8029739776,1830509.0,0.0,0,0,40,16.601271867752075,"{""http://127.0.0.1:9601"": 160, ""http://127.0.0.1:9602"": 140}"
local_sticky,40,4,300,68,185,47,40.869565217391305,22.666666666666668,61.666666666666664,0.0,4.595411224950079,4348.924875259399,8044.312238693237,8542.384147644043,4624.723809606889,809899.4355140186,1816503.0,0.0,0,0,40,14.797369956970215,"{""http://127.0.0.1:9601"": 160, ""http://127.0.0.1:9602"": 140}"
local_sticky,40,5,300,76,181,43,36.134453781512605,25.333333333333332,60.333333333333336,0.0,4.637652875024646,4595.530033111572,8372.656106948853,9306.28514289856,4781.603540244855,921444.8003696857,1814982.0,0.0,0,0,40,16.38759994506836,"{""http://127.0.0.1:9601"": 160, ""http://127.0.0.1:9602"": 140}"
local_sticky,60,1,300,80,218,2,2.4390243902439024,26.666666666666668,72.66666666666667,0.0,6.259133443700889,3142.207145690918,5690.8628940582275,6323.653936386108,3230.454045534134,550820.252631579,1455027.0,0.0,0,0,36,12.781322002410889,"{""http://127.0.0.1:9601"": 160, ""http://127.0.0.1:9602"": 140}"
local_sticky,60,2,300,56,211,33,37.07865168539326,18.666666666666668,70.33333333333333,0.0,4.527245299471403,3834.660053253174,7408.880949020386,8896.302938461304,4220.302726541247,750568.4364896074,1682361.0,0.0,0,0,46,12.369552850723267,"{""http://127.0.0.1:9602"": 140, ""http://127.0.0.1:9601"": 160}"
local_sticky,60,3,300,69,213,18,20.689655172413794,23.0,71.0,0.0,5.328830071038,4382.029056549072,7630.116939544678,8545.56918144226,4475.339167359946,791253.2214912281,1728962.0,0.0,0,0,43,12.94843316078186,"{""http://127.0.0.1:9601"": 160, ""http://127.0.0.1:9602"": 140}"
local_sticky,60,4,300,55,220,25,31.25,18.333333333333332,73.33333333333333,0.0,5.091788804897863,3838.6621475219727,7020.292043685913,7989.975929260254,4166.901536421342,709539.0658536585,1737480.0,0.0,0,0,47,10.80170488357544,"{""http://127.0.0.1:9601"": 160, ""http://127.0.0.1:9602"": 140}"
local_sticky,60,5,300,68,221,11,13.924050632911392,22.666666666666668,73.66666666666667,0.0,5.598550565895663,3020.8029747009277,5510.982036590576,6059.668064117432,3236.011350856108,559147.5935334873,1417162.0,0.0,0,0,43,12.146000862121582,"{""http://127.0.0.1:9602"": 140, ""http://127.0.0.1:9601"": 160}"
